bus_id,operator,source,destination,departure
bus-bk-01,kpn,bengaluru,kochi,19:00
bus-bk-02,freshbus,bengaluru,kochi,19:15
bus-bk-03,flixbus,bengaluru,kochi,19:30
bus-bk-04,kpn,bengaluru,kochi,19:45
bus-bk-05,freshbus,bengaluru,kochi,20:00
bus-bk-06,flixbus,bengaluru,kochi,20:15
bus-bk-07,kpn,bengaluru,kochi,20:30
bus-bk-08,freshbus,bengaluru,kochi,20:45
bus-bk-09,flixbus,bengaluru,kochi,21:00
bus-bk-10,kpn,bengaluru,kochi,21:15
bus-kb-01,freshbus,kochi,bengaluru,19:00
bus-kb-02,flixbus,kochi,bengaluru,19:15
bus-kb-03,kpn,kochi,bengaluru,19:30
bus-kb-04,freshbus,kochi,bengaluru,19:45
bus-kb-05,flixbus,kochi,bengaluru,20:00
bus-kb-06,kpn,kochi,bengaluru,20:15
bus-kb-07,freshbus,kochi,bengaluru,20:30
bus-kb-08,flixbus,kochi,bengaluru,20:45
bus-kb-09,kpn,kochi,bengaluru,21:00
bus-kb-10,freshbus,kochi,bengaluru,21:15
