Bus ID,Operator,Direction,Departure
bus-BK-01,kpn,Bengaluru?Kochi,19:00
bus-BK-02,freshbus,Bengaluru?Kochi,19:15
bus-BK-03,flixbus,Bengaluru?Kochi,19:30
bus-BK-04,kpn,Bengaluru?Kochi,19:45
bus-BK-05,freshbus,Bengaluru?Kochi,20:00
bus-BK-06,flixbus,Bengaluru?Kochi,20:15
bus-BK-07,kpn,Bengaluru?Kochi,20:30
bus-BK-08,freshbus,Bengaluru?Kochi,20:45
bus-BK-09,flixbus,Bengaluru?Kochi,21:00
bus-BK-10,kpn,Bengaluru?Kochi,21:15
bus-KB-01,freshbus,Kochi?Bengaluru,19:00
bus-KB-02,flixbus,Kochi?Bengaluru,19:35
bus-KB-03,kpn,Kochi?Bengaluru,20:10
bus-KB-04,freshbus,Kochi?Bengaluru,20:45
,,,
,,,
,,,
,,,
,,,
,,,
