bus_id,operator,source,destination,departure
bus-bk-01,kpn,bengaluru,kochi,19:00
bus-bk-02,freshbus,bengaluru,kochi,19:08
bus-bk-03,flixbus,bengaluru,kochi,19:16
bus-bk-04,kpn,bengaluru,kochi,19:24
bus-bk-05,freshbus,bengaluru,kochi,19:32
bus-bk-06,flixbus,bengaluru,kochi,19:40
bus-bk-07,kpn,bengaluru,kochi,19:48
bus-bk-08,freshbus,bengaluru,kochi,19:56
bus-bk-09,flixbus,bengaluru,kochi,20:04
bus-bk-10,kpn,bengaluru,kochi,20:12
bus-kb-01,freshbus,kochi,bengaluru,19:00
bus-kb-02,flixbus,kochi,bengaluru,19:08
bus-kb-03,kpn,kochi,bengaluru,19:16
bus-kb-04,freshbus,kochi,bengaluru,19:24
bus-kb-05,flixbus,kochi,bengaluru,19:32
bus-kb-06,kpn,kochi,bengaluru,19:40
bus-kb-07,freshbus,kochi,bengaluru,19:48
bus-kb-08,flixbus,kochi,bengaluru,19:56
bus-kb-09,kpn,kochi,bengaluru,20:04
bus-kb-10,freshbus,kochi,bengaluru,20:12
